age,income,loan_amount,education,marital_status,employment_status,credit_score,income_2,default
44,20541.156216571464,-1222.5563133892647,PostGradute,Married,Salaried,575.76822397576,23614.05093076398,1
38,10051.855198942643,277.5417717490259,HighSchool,Divorced,Salaried,616.4650464426261,4718.377448968794,0
46,77960.65487971737,20933.65586406533,PostGradute,Single,Unemployed,675.8871660975266,67392.21563160713,1
55,53750.81026707593,32275.10129727197,HighSchool,Single,Salaried,605.693744209318,53329.84669029225,0
37,34477.25543617169,-5775.879798768077,Graduate,Single,Salaried,718.2289591822681,31585.719946446356,1
37,40524.91495578103,19770.646095816475,HighSchool,Single,Salaried,702.9448132878035,44146.15591620739,0
55,63505.94698644831,34355.79060968255,PostGradute,Single,Salaried,580.7518380228441,66957.7672155947,0
47,12967.997284335337,20118.843129664234,HighSchool,Married,Unemployed,612.8470950034493,16515.021632256,0
35,280431.56160238525,55113.76539170191,HighSchool,Married,Self-Employed,688.4918410917511,270496.7751742669,1
45,184031.99889450474,45867.0446307395,PostGradute,Married,Self-Employed,686.5329701373664,157703.5835218146,0
35,52537.65450662784,37149.188279364826,Graduate,Single,Salaried,760.9220017651519,52133.38427913159,0
25,11128.588923444668,-699.5095924562611,Graduate,Single,Salaried,606.0058897275259,14886.558624597455,0
42,57007.389763768435,-8110.405903406108,HighSchool,Married,Salaried,722.9608919735996,47798.1072647713,0
23,3746.8685917146645,-17648.01169417184,Graduate,Divorced,Salaried,604.3043027618215,3603.387720077863,0
22,1556.605826180974,7394.460914843932,HighSchool,Single,Unemployed,675.0160466227936,-3734.865536839257,0
34,14898.937656944827,-11556.788580844011,HighSchool,Divorced,Salaried,694.6171220779742,19291.543748101976,0
29,31052.765093671947,789.4408266246451,Graduate,Single,Self-Employed,500.3049953566784,24720.13651360586,1
43,101350.99625954202,30870.376968622626,HighSchool,Divorced,Salaried,695.5603149041391,92319.13591188169,0
30,64945.14894089445,27515.090358921847,PostGradute,Divorced,Self-Employed,719.2284845524694,59377.64066356965,0
25,67876.8952374661,30171.325005713035,PostGradute,Single,Unemployed,704.7940876736872,75730.10158509416,0
54,27712.178970370693,9680.009111647809,Graduate,Married,Self-Employed,752.6669405038839,31349.93137223314,1
37,21227.42663447413,17853.727337496755,Graduate,Single,Self-Employed,698.2588641752945,28229.074597319843,0
40,23184.282527364852,-3517.392466352565,Graduate,Divorced,,623.1397449323742,12959.469123595405,0
25,219703.1945758252,38425.30377960301,HighSchool,Married,Self-Employed,711.9505567207639,202371.5611161711,1
34,2046.7871021964336,-7353.806618248129,Graduate,Married,Salaried,620.3016859722293,8637.345965675097,0
41,100882.14958778695,37882.16628779491,HighSchool,Married,Salaried,654.1208962472989,87037.23636726422,0
28,43217.587067633125,17967.8969840941,HighSchool,Divorced,Self-Employed,691.5891636700618,37698.286860003136,0
